YEAR,TYPE,TITLE_EN,IMAGES/PDF,VIDEOS,AUDIO,TITLE_FR,ARTISTS,DESCRIPTION_EN,DESCRIPTION_FR,RECURRING_TITLE_EN,RECURRING_TITLE_FR,RECURRING_DESCRIPTION_EN,RECURRING_DESCRIPTION_FR,,COMMENTS
2011,EVENT,50 Concrete Blocks Launch,x,,,Lancement De 50 Blocs En Béton,Manuel Chantre,,"L'artiste Manuel Chantre lance une compilation des récents projets Memorsion, Disperge Maiz et Popcontinental.

Une édition unique de l'album est lancée sous forme de bloc en béton, dont les données sont accessibles par un branchement USB à un ordinateur.

Le projet s'inscrit dans la continuité de la réflexion de Chantre sur la mémoire collective des lieux urbains abandonnés.",,,,,,
2008,EVENT,Absent Wishes,/EVENTS/2008/Absent-Wishes,,,Absent Wishes,"Monique Mathieu
Nader Hasan
Neely Goniodsky
Sarah Pupo
Cassandra Witteman
Willow O'Donnell
Bridget Moser
Jay Gillingham
Yen Chao Lin
Esther Splett
Kendyl Rossi
Marisa Hoicka
Coleoptera
Otherpeoplesmusic
Joda Clement
Radiate 
","Video, sound, photo, illustration and performance.","Vidéo, son, photo, illustration et performance.",,,,,,
2017,EVENT,Acte03 : P. Vandal - Micro espaces,x,,,Acte03 : P. Vandal - Micro espaces,"PHILIPPE VANDAL ET NICO ADAMA
BUFFALO MRI
ÉMILIE MOUCHOUS ET ALEXANDRE ST-ONGE","Acte is launching « Micro espaces », Philippe Vandal's new album! ","Acte dévoile Micro espaces, le nouvel album de Philippe Vandal, à paraître prochainement sur l’étiquette !

« Micro espaces est une promenade acoustique afin de mieux comprendre l’expérience multi sensorielle possible d’une topophilie. Pour profiter pleinement de cet air, tous systèmes de climatisation doivent être éteints et toutes fenêtres ouvertes. »",,,,,,
2009,EVENT,Album of the Year,/EVENTS/2009/Album-of-year,,,Album of the Year,Carl Simonise ,,,,,,,,
2017,EVENT,Algorave,x,,,Algorave,"MOXUS 
ILLEST PREACHA
MARC MATATYA 
VIEUX NÉANT 
ELBY 
ESTEBAN BETANCUR 
VJ BUNBUN 
TINA SALAMEH
STEPHANIE CASTONGUAY 
GAR
YECTO ","Algorave is a global movement where artists improvise with electronic and algorithmic processes to produce live visuals and sounds.
 

The event will begin with a display of mexican-inspired live coding style that will be presented by the participants of the Live Coding workshop at Eastern Bloc.","L'algorave est un mouvement global où les artistes improvisent avec du langage électronique et algorithmique pour produire des images et des sons.
 

L'évènement débutera par un concert de live coding style mexicain avec les participants de l'atelier de Live Coding à Eastern Bloc.",,,,,,
2012,EVENT,Ana,/EVENTS/2012/Ana,,,Ana,Ouananiche,"ANA delves into the delirious memory of a troubled woman, as if, at the threshold of death, we are invited into a vision of her life, played out in obsessive motifs: sex, imprisonment, old age, water, paranoia, death.

Her souvenirs are interlaced in a spiral of sensations, phantasmagoric desires, subliminal reminiscences, all within the organized frenzy of schizophrenia.

Immersive, somber, insistent, Ouananiche’s audio/visual performance explores the body and the noises it generates as well as the intimate interaction between image and sound, pushing both image and sound to nearly imperceptible limits. 

The performance recomposes a vision of a woman’s life through the sounds that are distorted, wound up, split, and fractured, along u completely unedited score.

ANA is a live audio/visual performance of an extreme sensuality, constructed from bits and pieces of the feature length film Amer by Hélène Cattet and Bruno Forzani. At the border of film, video art, music and digital art, the video-music fabric that is woven by Ouananiche seeks those gaps where artistic codes and languages clash, those troubled spaces where the spectator and the artist must adapt to a new equilibrium.
","ANA est une plongée dans la mémoire délirante d'une femme troublée, comme si, au seuil de la mort, nous partagions la vision de sa vie qui défile en motifs obsessionnels : le sexe, l'enfermement, le vieillissement, l'eau, la paranoïa, la mort.

Les souvenirs s'entremêlent en une spirale de sensations et de désirs fantasmagoriques, de réminiscences subliminales, selon la folie organisée de la schizophrénie.

Immersive, sombre et entêtante, cette performance vidéo-musicale de Ouananiche ausculte les corps et les bruits qu'ils émettent, explore le rapport intime qu'entretiennent l'image et le son, les pousse à la limite du perceptible et recompose une mémoire nouvelle à partir des images et des sons qu'il tord, distend, enroule, dédouble, fractionne, selon une partition inédite.

ANA est un live audiovisuel d'une sensualité décapante construit à partir du long-métrage AMER, de Hélène Cattet et Bruno Forzani. Aux frontières du cinéma, de l'art vidéo, du concert, et de l'art digital, le dentelle vidéo-musicale de Ouananiche cherche ces brèches où les codes artistiques se heurtent, espaces troubles où le spectateur et l'artiste doivent s’adapter à un nouvel équilibre.
",,,,,,
2017,EVENT,Annual General Assembly ,x,,,Assemblée Générale Annuelle,,,"
",,,,,,
2014,EVENT,Art and Feminism Wikipedia Edit-a-thon,/EVENTS/2014/Wikipedia_Editathon,,,"Art + Féminisme ""Edit-a-thon"" Wikipédia",,"Wikipedia’s gender trouble is well documented: in a 2010 survey, Wikimedia found that less than 13% of its contributors are female.

We invite you to help address this absence at a Art+Feminism Wikipedia Edit-a-thon on Saturday, February 1, 2014 from noon to 6 p.m. at Eastern Bloc. We will provide tutorials for the beginner Wikipedian, and reference materials. For the editing-averse, we urge you to stop by to show your support. We also encourage remote participation; you can share your thoughts on the editing process in real-time on our Wikipedia Meet Up page and on the Tumblr.","Le problème d'égalité de représentation des sexes à Wikipédia est déjà l'objet d'une riche documentation. Dans une enquête de 2010, Wikimédia a révélé que moins de 13% de ses collaborateurs sont des femmes.
Nous vous invitons à contribuer à combler cette absence lors d'un « Art + féminisme Edit-a-thon Wikipédia », le samedi 1er Février 2014, de midi à 18 heures chez Eastern Bloc. Nous fournirons des tutoriels pour les débutants wikipédiens, et des ressources documentaires. Pour ceux et celles qui craindraient de prendre part à l'édition en elle-même, nous vous invitons à vous arrêter au moins pour montrer votre soutien. Nous encourageons également la participation à distance, vous pouvez partager vos réflexions sur le processus d'édition en temps réel sur notre page Wikipedia Meet Up et sur le Tumblr.",,,,,,
2016,EVENT,Art-Facto.Today: Temps d’agir?,x,,,Art-Facto.Today: Temps d’agir?,"RAFAEL LOZANO-HEMMER
CAROLINE MONNET & AURA AVILA-RAVELO
QUADR
DEEP FRIED & RAFA PINEDA","Art-Facto.Today is an international contemporary art magazine.

The editorial and production team resides in Canada, Chile and Mexico. The magazine brings together a whole community of creative people who, from their respective cities located throughout the world, share ideas, write articles, conduct interviews and studio visits and workshops with visiting artists.

To mark the first year of the magazine, an event-exhibition will be held under the theme 'Time to act?'

The team considers that art can be part of the everyday and provide an answer to contemporary issues. Through the selected works, Art-Facto aims to question and give a different perspective on socio-political reality and on the challenges causing problems in contemporary life.
A presentation of Art-Facto.Today in collaboration with 8day, the International Digital Art Biennial (BIAN Montréal), Eastern Bloc and ELEKTRA Festival.
","Art-Facto.Today est une revue internationale d’art contemporain.

L’équipe de rédaction et de production réside au Canada, au Chili et au Mexique. La revue permet de rassembler toute une communauté de personnes créatives qui, depuis leurs villes respectives situées un peu partout dans le monde, se partagent des idées, rédigent des articles, réalisent des entrevues ainsi que des visites de studios et d’ateliers d’artistes.

Afin de souligner la première année d’existence de la revue, un événement-exposition se tiendra sous le thème ‘Temps d’agir?’

L’équipe considère que l’art peut s’inscrire dans le quotidien et proposer une réponse aux enjeux de notre époque. À travers les œuvres sélectionnées, Art-Facto prétend questionner et donner une perspective différente sur la réalité socio-politique et sur les défis qu’engendrent les problématiques de l’époque contemporaine.

Une présentation de Art-Facto.Today en collaboration avec 8day, la Biennale internationale d'art numérique (BIAN Montréal), Eastern Bloc et ELEKTRA Festival d'arts numériques.",,,,,,
2007,EVENT,Asylum,x,,,Asylum,,"The Centre culturel des arts de la rue, a local community art centre located in Parc Exstension, presents Asylum 1901: a Halloween haunted house based on an insane asylum of the early twentieth century. Over 25 actors will perform in this immersive theatre environment bringing to life the experiences of doctors, nurses and patients of this mental institution…even a creepy janitor and lunch lady will be present to follow you around with a broom or serve you some nondescript slop.
 
Each audience member will be admitted into the asylum as a patient with a specific mental disorder. They will be given the grand tour of the hospital where they will get to know the mad doctors, unforgiving nurses and helpless patients of Ward 9.",,,,,,,
