YEAR;TYPE;TITLE_EN;IMAGES/PDF;VIDEOS;AUDIO;TITLE_FR;ARTISTS;DESCRIPTION_EN;DESCRIPTION_FR;AUTRE MÉDIA;RECURRING_TITLE_EN;RECURRING_TITLE_FR;RECURRING_DESCRIPTION_EN;RECURRING_DESCRIPTION_FR;;COMMENTS
2008;EXHIBIT;Factory Project;;;;Projet <<Factory>>;;;;;;;;;;
2009;EXHIBIT;Concordia MFA Exhibit;/EXHIBITS/2009/Concordia-MFA;;;Exposition de MFA de Concordia ;;;;;;;;;;
2009;EXHIBIT;Espèces Vulnérables;/EXHIBITS/2009/Especes-Vulnerables;;;Espèces Vulnérables;"
2Fik
VJ Choco Beets
Ouananiche
Dominic Gagnon
Sophie Glowa
Ximena Holuigue
Samuel Huron
Influx LASN
Rebecca Lamarre
Alexandra Lemay
Violaine Morinville
Karine Savard
Justine Skahan
Josh Usheroff";Eastern Bloc presents its year-end group exhibit, Espèces Vulnérables: a New Media and digital art show featuring the work of sixteen local and international artists. ;Eastern Bloc présente Espèces Vulnérables, une exposition collective d’art numérique et de nouveaux médias avec les œuvres de 16 artistes de la relève locale et internationale. ;;;;;;;
2010;EXHIBIT;400: AN EXHIBITION: IMCA Undergraduate Exhibit;/EXHIBITS/2010/400_IMCA-499;;;400: AN EXHIBITION: Exposition du premier cycle d'IMCA;"Nicole Roberge
Craig Fahner
Paul Frigon
Jason Harvey
Stephen Marie-Rhodes
Scott Harber
Vincent Charlebois
David Morris
Genevieve Gagnon
Alissa Jafiarova
Dominique Pelletier-Lesage
Cheli Nighttraveller
David Whitten
Philippe Dinan Soldevilla
Jonathan Lemieux
Eulalie Gagné
Patricia Rivas
Morgan Sea
Reuel Dechene
Vincent Chevalier
Jordan Burgess 
Maude deBlois";;;;;;;;;
2010;EXHIBIT;Bend Grind;/EXHIBITS/2010/Bend_grind;;;Bend Grind;"Monique Mathieu Mathieu
Marisa Hoicka";Exhibit of interdisciplinary installation by Eastern Bloc volunteer Monique Mathieu.;Exposition d'installations interdisciplinaire d'une de nos bénévoles : Monique Mathieu;;;;;;;
2010;EXHIBIT;Bête du Sanctuaire, La;/EXHIBITS/2010/La-Bete-du-Sanctuaire;;;Bête du Sanctuaire, La;;;;;;;;;;
2010;EXHIBIT;Clash;/EXHIBITS/2010/CLASH;;;;"Andrew Frosst
Ian MacTilstra
Eva Schindling
David Whitten";;;;;;;;;
2010;EXHIBIT;DNP;/EXHIBITS/2010/DNP;;;DNP;"Caleb Belleveau
Darsha Hewitt
James Partaik 
Josh Schwebel Schwebel
Emily Gan
Anita Schoepp ";"Our personal practice often centers on the desire to abstract an image and to play with its place in time and space. We are interested in the idea of documenting the ephemeral - art that is made with love and thought, which exists in a moment for those lucky enough to find and participate in it.
 
For this reason we chose to play with the space between still and moving image. Where still image is a moment of time removed from context - moving image puts things into action, whether literal or fantastic. We framed the liminal space between these precious moments taken out of context and added our own perceptions, setting them into motion in new directions.
 
Public space does not often give us room to intervene, and with this in mind, we attempted to respond and document work that is fleeting and time sensitive. Our installation, though gallery based, reflects the transience of the work we used as our source material. The process made visible how volatile our sense of time can be – revealing that it is constantly expanding and compressing.";"Souvent, notre pratique personnelle orbite autour d’un désir d’abstraire une image et de déplacer son foyer spatio-temporel. Nous-nous intéressons ainsi à l’idée de la documentation de l’éphémère – un art créé avec cœur et intellect qui résiderait seulement dans un moment et seulement pour ceux qui auront la chance de le voir, et ainsi participer de ce moment abstrait.
 
Pour cette raison, nous avons choisi de jouer avec l’espace entre l’image statique et l’image dynamique. Là où l’image statique est un moment temporel abstrait de son contexte, l’image dynamique le remplace par l’action tant littérale que fantastique. Nous avons cadré l’espace liminal entre ces précieux moments abstraits et nous y avons ajouté nos propres perceptions, les remplaçant ainsi par des actions qui se présentent alors comme des nouveaux départs, des nouvelles directions.
 
L’espace publique interdit souvent l’intervention publique, de sorte que nous avons tenté de répondre à cette contradiction en documentant des essais artistiques qui sont fugaces et contraints par le temps. Quoique physiquement localisée dans une galerie, notre installation reflète la brièveté du matériel qui constitue notre source artistique. Ce procédé rend visible la volatilité de l’impression que nous avons du temps – révélant ainsi le flux plus ou moins constant d’expansion et de compression qui a lieu à notre insu.";;;;;;;
2010;EXHIBIT;IMCA 330: Undergraduate Exhibit;x;;;Exposition IMCA 330;;;;;;;;;;
2010;EXHIBIT;Memorsion;/EXHIBITS/2010/Memorsion;https://www.youtube.com/embed/UKlrpNRunp0;;Memorsion;Manuel Chantres;;"Une installation audio-visuelle et interactive constitué de 24 toiles de rétro
projections. Un nouvel espace urbain se construit à l’aide de fragments vidéo
de structures urbaines ; notamment de grands espaces de bétons, des morceaux
d’édifices, de tunnels et de murs tapissés de graffitis.
Les écrans s’activent, clignotent et interagissent avec le public afin d’assembler
un univers qui transforme le paysage familier de l’espace urbain.
La musique, diffusée par quatre haut-parleurs, impose une ambiance englobante.
Pour le public situé à l’intérieur du dispositif, l’environnement est immersif, alors
que de l’extérieur, l’installation est davantage une sculpture vidéo.
Memorsion propose une expérience prenante, sensorielle et narrative.";;;;;;;
